candidate_id,robot,sample_index,sampling_kind,parking_id,span2_mm,span3_mm,span4_mm,span5_mm,factor2,factor3,factor4,factor5,tier1_complete,tier2_complete,tier3_complete,storage_balanced_fraction,pickup_complete,pickup_min_slot_complete,module_complete,module_stress_complete,module_stress_total,module_stress_min_clearance_m,module_stress_min_joint_margin_rad,elapsed_s
rm2p_spherical_wrist_q00_rear_left,rm2p_spherical_wrist,0,baseline,rear_left,290.0,390.0,0.0,0.0,1.0,1.0,,,1,5,0,0.08888888888888889,23,1,True,7,9,0.00666666666666671,0.012745243110391602,80.355260155
rm2p_spherical_wrist_q00_rear_center,rm2p_spherical_wrist,0,baseline,rear_center,290.0,390.0,0.0,0.0,1.0,1.0,,,5,14,2,0.32246913580246916,38,5,True,9,9,0.00666666666666671,0.2772890287612033,66.83789683299983
rm2p_spherical_wrist_q00_rear_right,rm2p_spherical_wrist,0,baseline,rear_right,290.0,390.0,0.0,0.0,1.0,1.0,,,9,15,4,0.4493827160493827,37,5,True,9,9,0.00666666666666671,0.22070472629022952,65.42333218400017
rm2p_spherical_wrist_q00_mid_left,rm2p_spherical_wrist,0,baseline,mid_left,290.0,390.0,0.0,0.0,1.0,1.0,,,6,15,3,0.3703703703703704,34,4,True,7,9,0.00666666666666671,0.1330660540609685,64.44729797499895
rm2p_spherical_wrist_q01_rear_left,rm2p_spherical_wrist,1,sobol,rear_left,260.9183107195422,433.16841759067023,0.0,0.0,0.8997183128260076,1.1106882502324877,,,1,7,0,0.11555555555555556,30,1,True,8,9,0.00666666666666671,0.01178851829817873,79.8817368960008
rm2p_spherical_wrist_q01_rear_center,rm2p_spherical_wrist,1,sobol,rear_center,260.9183107195422,433.16841759067023,0.0,0.0,0.8997183128260076,1.1106882502324877,,,6,17,4,0.40938271604938276,35,5,True,9,9,0.00666666666666671,0.40307881883119534,64.8756512459986
rm2p_spherical_wrist_q01_rear_right,rm2p_spherical_wrist,1,sobol,rear_right,260.9183107195422,433.16841759067023,0.0,0.0,0.8997183128260076,1.1106882502324877,,,9,16,5,0.4750617283950617,37,5,True,9,9,0.00666666666666671,0.22069628495130322,67.17689086000064
rm2p_spherical_wrist_q01_mid_left,rm2p_spherical_wrist,1,sobol,mid_left,260.9183107195422,433.16841759067023,0.0,0.0,0.8997183128260076,1.1106882502324877,,,6,16,3,0.3837037037037037,36,5,True,6,9,0.00666666666666671,0.1811828919419387,84.2504749439995
rm2p_spherical_wrist_q02_rear_left,rm2p_spherical_wrist,2,sobol,rear_left,320.85170789342374,385.5946764629334,0.0,0.0,1.1063851996324956,0.9887042986229062,,,3,7,0,0.16,28,1,True,8,9,0.00666666666666671,0.012306684643589083,63.62671147199944
rm2p_spherical_wrist_q02_rear_center,rm2p_spherical_wrist,2,sobol,rear_center,320.85170789342374,385.5946764629334,0.0,0.0,1.1063851996324956,0.9887042986229062,,,7,17,4,0.43160493827160495,39,5,True,9,9,0.00666666666666671,0.3001504944047917,66.99506102300074
rm2p_spherical_wrist_q02_rear_right,rm2p_spherical_wrist,2,sobol,rear_right,320.85170789342374,385.5946764629334,0.0,0.0,1.1063851996324956,0.9887042986229062,,,9,19,5,0.5150617283950617,37,5,True,9,9,0.00666666666666671,0.22115332536038923,61.63415135399919
rm2p_spherical_wrist_q02_mid_left,rm2p_spherical_wrist,2,sobol,mid_left,320.85170789342374,385.5946764629334,0.0,0.0,1.1063851996324956,0.9887042986229062,,,7,18,3,0.4325925925925926,37,5,True,7,9,0.00666666666666671,0.38877305165601284,68.54289178399995
rm3p_spherical_wrist_q00_rear_left,rm3p_spherical_wrist,0,baseline,rear_left,290.0,390.0,0.0,0.0,1.0,1.0,,,1,5,0,0.08888888888888889,30,1,True,8,9,0.00666666666666671,2.220446049250313e-15,88.02266079800029
rm3p_spherical_wrist_q00_rear_center,rm3p_spherical_wrist,0,baseline,rear_center,290.0,390.0,0.0,0.0,1.0,1.0,,,8,14,3,0.4014814814814815,59,5,True,9,9,0.00666666666666671,0.2772890286881253,59.49854537600004
rm3p_spherical_wrist_q00_rear_right,rm3p_spherical_wrist,0,baseline,rear_right,290.0,390.0,0.0,0.0,1.0,1.0,,,12,18,6,0.5807407407407408,59,5,True,9,9,0.00666666666666671,0.22069628494949867,65.61156856000161
rm3p_spherical_wrist_q00_mid_left,rm3p_spherical_wrist,0,baseline,mid_left,290.0,390.0,0.0,0.0,1.0,1.0,,,8,15,2,0.40246913580246907,54,4,True,9,9,0.00666666666666671,0.379473632181647,71.56007600799967
rm3p_spherical_wrist_q01_rear_left,rm3p_spherical_wrist,1,sobol,rear_left,260.9183107195422,433.16841759067023,0.0,0.0,0.8997183128260076,1.1106882502324877,,,1,7,0,0.11555555555555556,39,1,True,9,9,0.00666666666666671,0.01178860336109011,74.63388026100074
rm3p_spherical_wrist_q01_rear_center,rm3p_spherical_wrist,1,sobol,rear_center,260.9183107195422,433.16841759067023,0.0,0.0,0.8997183128260076,1.1106882502324877,,,9,17,5,0.48839506172839503,59,5,True,9,9,0.00666666666666671,0.4030788188333079,68.21984534500007
rm3p_spherical_wrist_q01_rear_right,rm3p_spherical_wrist,1,sobol,rear_right,260.9183107195422,433.16841759067023,0.0,0.0,0.8997183128260076,1.1106882502324877,,,12,19,7,0.6064197530864198,59,5,True,9,9,0.00666666666666671,0.2206962849485039,60.463369827999486
rm3p_spherical_wrist_q01_mid_left,rm3p_spherical_wrist,1,sobol,mid_left,260.9183107195422,433.16841759067023,0.0,0.0,0.8997183128260076,1.1106882502324877,,,9,16,2,0.43802469135802474,59,5,True,9,9,0.00666666666666671,0.5155106796064719,70.25883792400055
rm3p_spherical_wrist_q02_rear_left,rm3p_spherical_wrist,2,sobol,rear_left,320.85170789342374,385.5946764629334,0.0,0.0,1.1063851996324956,0.9887042986229062,,,3,7,0,0.16,37,1,True,9,9,0.00666666666666671,0.012306685023302677,78.02652935900005
rm3p_spherical_wrist_q02_rear_center,rm3p_spherical_wrist,2,sobol,rear_center,320.85170789342374,385.5946764629334,0.0,0.0,1.1063851996324956,0.9887042986229062,,,11,17,6,0.5451851851851851,59,5,True,9,9,0.00666666666666671,0.30015049427547247,67.06241066899929
rm3p_spherical_wrist_q02_rear_right,rm3p_spherical_wrist,2,sobol,rear_right,320.85170789342374,385.5946764629334,0.0,0.0,1.1063851996324956,0.9887042986229062,,,12,23,9,0.6844444444444444,59,5,True,9,9,0.00666666666666671,0.22069628494919757,59.26552390100005
rm3p_spherical_wrist_q02_mid_left,rm3p_spherical_wrist,2,sobol,mid_left,320.85170789342374,385.5946764629334,0.0,0.0,1.1063851996324956,0.9887042986229062,,,9,18,3,0.477037037037037,58,5,True,9,9,0.00666666666666671,0.3887730508298872,71.26815070699922
