candidate_id,robot,sample_index,parking_id,span2_mm,span3_mm,span4_mm,span5_mm,factor2,factor3,factor4,factor5,tier1_complete,tier2_complete,tier3_complete,storage_balanced_fraction,pickup_complete,pickup_min_slot_complete,module_complete,module_stress_complete,module_stress_total,module_stress_min_clearance_m,module_stress_min_joint_margin_rad,elapsed_s
widowx250_q04_rear_center,widowx250,4,rear_center,247.4964499724258,149.95495080947873,67.10203526308761,66.43946469994262,0.9709472162649035,0.8568854331970215,0.8946938035078347,1.022145610768348,1,1,0,0.035555555555555556,11,0,False,0,9,,,76.06070702400757
widowx250_q04_rear_right,widowx250,4,rear_right,247.4964499724258,149.95495080947873,67.10203526308761,66.43946469994262,0.9709472162649035,0.8568854331970215,0.8946938035078347,1.022145610768348,5,5,1,0.19012345679012346,40,4,True,5,9,0.00666666666666671,0.6916691663316539,68.37099218499498
widowx250_q04_mid_left,widowx250,4,mid_left,247.4964499724258,149.95495080947873,67.10203526308761,66.43946469994262,0.9709472162649035,0.8568854331970215,0.8946938035078347,1.022145610768348,1,1,0,0.035555555555555556,11,0,False,0,9,,,80.2348982449912
widowx250_q05_rear_left,widowx250,5,rear_left,229.05648673208677,191.66591163957492,60.16884305281565,71.19254560675472,0.8986058514565229,1.095233780797571,0.8022512407042086,1.095269932411611,0,0,0,0.0,0,0,False,0,9,,,82.68109070099308
widowx250_q05_rear_center,widowx250,5,rear_center,229.05648673208677,191.66591163957492,60.16884305281565,71.19254560675472,0.8986058514565229,1.095233780797571,0.8022512407042086,1.095269932411611,1,3,0,0.062222222222222213,17,0,False,0,9,,,69.52190541001619
widowx250_q05_rear_right,widowx250,5,rear_right,229.05648673208677,191.66591163957492,60.16884305281565,71.19254560675472,0.8986058514565229,1.095233780797571,0.8022512407042086,1.095269932411611,7,8,1,0.2745679012345679,42,5,True,8,9,0.00666666666666671,0.4858641196855178,62.27352232800331
widowx250_q05_mid_left,widowx250,5,mid_left,229.05648673208677,191.66591163957492,60.16884305281565,71.19254560675472,0.8986058514565229,1.095233780797571,0.8022512407042086,1.095269932411611,1,1,0,0.035555555555555556,16,0,False,1,9,0.00666666666666671,0.07594179703556048,75.39570101400022
widowx250_q06_rear_left,widowx250,6,rear_left,262.125536014424,136.85100977309048,75.26079980889335,58.01441006595269,1.0283382227644324,0.7820057701319456,1.0034773307852447,0.8925293856300414,0,0,0,0.0,0,0,False,0,9,,,82.05754745699232
widowx250_q06_rear_center,widowx250,6,rear_center,262.125536014424,136.85100977309048,75.26079980889335,58.01441006595269,1.0283382227644324,0.7820057701319456,1.0034773307852447,0.8925293856300414,1,2,0,0.04888888888888889,14,0,False,0,9,,,69.04365662598866
widowx250_q06_rear_right,widowx250,6,rear_right,262.125536014424,136.85100977309048,75.26079980889335,58.01441006595269,1.0283382227644324,0.7820057701319456,1.0034773307852447,0.8925293856300414,7,8,1,0.2745679012345679,42,4,True,6,9,0.00666666666666671,0.7065457266394652,65.86877975001698
widowx250_q06_mid_left,widowx250,6,mid_left,262.125536014424,136.85100977309048,75.26079980889335,58.01441006595269,1.0283382227644324,0.7820057701319456,1.0034773307852447,0.8925293856300414,1,1,0,0.035555555555555556,13,0,False,1,9,0.00666666666666671,0.3907201917673886,76.22485577198677
widowx250_q07_rear_left,widowx250,7,rear_left,297.68755679705254,216.24865416670215,74.99986959155649,80.83170406287536,1.167850709054619,1.2357065952382982,0.9999982612207532,1.2435646778903902,1,4,0,0.07555555555555556,20,0,True,6,9,0.00666666666666671,0.0966501447310022,74.172474994004
widowx250_q07_rear_center,widowx250,7,rear_center,297.68755679705254,216.24865416670215,74.99986959155649,80.83170406287536,1.167850709054619,1.2357065952382982,0.9999982612207532,1.2435646778903902,9,14,2,0.411358024691358,42,6,True,9,9,0.00666666666666671,0.29402147942568524,61.68191704698256
widowx250_q07_rear_right,widowx250,7,rear_right,297.68755679705254,216.24865416670215,74.99986959155649,80.83170406287536,1.167850709054619,1.2357065952382982,0.9999982612207532,1.2435646778903902,11,21,6,0.5985185185185186,43,5,True,9,9,0.00666666666666671,0.47179878026463395,62.073740071005886
widowx250_q07_mid_left,widowx250,7,mid_left,297.68755679705254,216.24865416670215,74.99986959155649,80.83170406287536,1.167850709054619,1.2357065952382982,0.9999982612207532,1.2435646778903902,9,18,3,0.477037037037037,35,4,True,9,9,0.00666666666666671,0.02691572049919122,61.470885917020496
widowx250_q08_rear_left,widowx250,8,rear_left,202.82327620857222,161.34947133250532,89.79073483496906,49.326322749257095,0.7956909905187786,0.9219969790428877,1.1972097977995872,0.7588665038347244,0,0,0,0.0,0,0,False,0,9,,,84.57831846398767
widowx250_q08_rear_center,widowx250,8,rear_center,202.82327620857222,161.34947133250532,89.79073483496906,49.326322749257095,0.7956909905187786,0.9219969790428877,1.1972097977995872,0.7588665038347244,1,1,0,0.035555555555555556,9,0,False,0,9,,,72.46636384399608
widowx250_q08_rear_right,widowx250,8,rear_right,202.82327620857222,161.34947133250532,89.79073483496906,49.326322749257095,0.7956909905187786,0.9219969790428877,1.1972097977995872,0.7588665038347244,5,4,1,0.17679012345679013,38,2,False,3,9,0.00666666666666671,0.7984195647413752,64.6034861439839
widowx250_q08_mid_left,widowx250,8,mid_left,202.82327620857222,161.34947133250532,89.79073483496906,49.326322749257095,0.7956909905187786,0.9219969790428877,1.1972097977995872,0.7588665038347244,1,0,0,0.022222222222222223,8,0,False,0,9,,,77.3083326620108
widowx250_q09_rear_left,widowx250,9,rear_left,198.1541470163777,177.01685552019626,72.13991114404052,59.70779944909737,0.7773736449889839,1.0115248886868358,0.9618654819205403,0.9185815299861133,0,0,0,0.0,0,0,False,0,9,,,85.23497832499561
