candidate_id,robot,factor2,factor3,span2_m,span3_m,parking_id,tier1_complete,tier2_complete,tier3_complete,tier1_total,tier2_total,tier3_total,storage_balanced_fraction,pickup_complete,pickup_total,pickup_all_angle_slots,pickup_min_slot_complete,module_complete,elapsed_s
xarm6_s2_1p134_s3_1p080_rear_left,xarm6,1.1339262309484184,1.080369483679533,0.3921349536001372,0.3747237535857889,rear_left,14,24,13,15,25,27,0.7916049382716049,65,72,3,8,True,43.02243379599531
xarm6_s2_1p134_s3_1p080_rear_center,xarm6,1.1339262309484184,1.080369483679533,0.3921349536001372,0.3747237535857889,rear_center,12,19,16,15,25,27,0.7175308641975309,59,72,2,6,True,40.7727987379767
xarm6_s2_0p852_s3_0p752_rear_left,xarm6,0.8519661608152092,0.7520631966181099,0.29462737682744056,0.2608514477941878,rear_left,4,2,0,15,25,27,0.11555555555555556,12,72,0,0,False,62.58602850799798
xarm6_s2_0p852_s3_0p752_rear_center,xarm6,0.8519661608152092,0.7520631966181099,0.29462737682744056,0.2608514477941878,rear_center,9,14,2,15,25,27,0.411358024691358,52,72,1,4,True,47.13482899800874
ur5e_s2_1p000_s3_1p000_rear_left,ur5e,1.0,1.0,0.4447313795989664,0.3920000000000001,rear_left,13,21,6,15,25,27,0.642962962962963,55,72,2,7,False,52.0069025339908
ur5e_s2_1p000_s3_1p000_rear_center,ur5e,1.0,1.0,0.4447313795989664,0.3920000000000001,rear_center,15,18,10,15,25,27,0.6967901234567901,45,72,0,6,False,57.38729331002105
ur5e_s2_0p833_s3_1p184_rear_left,ur5e,0.8328638547100127,1.1844804170541465,0.37040069112329704,0.4643163234852256,rear_left,15,23,11,15,25,27,0.7758024691358024,52,72,1,6,False,51.37443767601508
ur5e_s2_0p833_s3_1p184_rear_center,ur5e,0.8328638547100127,1.1844804170541465,0.37040069112329704,0.4643163234852256,rear_center,15,24,12,15,25,27,0.8014814814814816,52,72,2,6,False,53.94535900800838
ur5e_s2_1p177_s3_0p981_rear_left,ur5e,1.1773086660541594,0.981173831038177,0.5235861072680852,0.3846201417669655,rear_left,13,16,4,15,25,27,0.551604938271605,44,72,0,6,False,52.60923268599436
ur5e_s2_1p177_s3_0p981_rear_center,ur5e,1.1773086660541594,0.981173831038177,0.5235861072680852,0.3846201417669655,rear_center,11,15,8,15,25,27,0.5432098765432098,40,72,0,4,False,55.76694896098343
ur5e_s2_1p055_s3_1p024_rear_left,ur5e,1.0548440334387124,1.024284705054015,0.4691222422529368,0.40151960438117396,rear_left,14,17,6,15,25,27,0.6118518518518519,54,72,1,7,False,51.876438523002435
ur5e_s2_1p055_s3_1p024_rear_center,ur5e,1.0548440334387124,1.024284705054015,0.4691222422529368,0.40151960438117396,rear_center,12,17,9,15,25,27,0.6044444444444445,48,72,0,5,False,57.80753789001028
ur5e_s2_0p962_s3_0p821_rear_left,ur5e,0.9622923848219216,0.8208567639812827,0.42796161987943265,0.3217758514806629,rear_left,15,22,11,15,25,27,0.7624691358024691,46,72,0,6,False,50.746561595005915
ur5e_s2_0p962_s3_0p821_rear_center,ur5e,0.9622923848219216,0.8208567639812827,0.42796161987943265,0.3217758514806629,rear_center,12,19,8,15,25,27,0.6187654320987654,48,72,0,6,False,53.87325907702325
ur5e_s2_0p930_s3_1p105_rear_left,ur5e,0.9295954047702253,1.1051761098206043,0.41342024683232187,0.433229035049677,rear_left,15,23,10,15,25,27,0.7634567901234567,52,72,2,5,False,52.43766768000205
ur5e_s2_0p930_s3_1p105_rear_center,ur5e,0.9295954047702253,1.1051761098206043,0.41342024683232187,0.433229035049677,rear_center,14,22,12,15,25,27,0.7525925925925926,47,72,0,6,False,54.61196568698506
ur5e_s2_1p085_s3_0p808_rear_left,ur5e,1.084648126270622,0.8084867489524186,0.48237705757576765,0.31692680558934816,rear_left,13,21,10,15,25,27,0.6923456790123458,49,72,0,5,False,50.467018230003305
ur5e_s2_1p085_s3_0p808_rear_center,ur5e,1.084648126270622,0.8084867489524186,0.48237705757576765,0.31692680558934816,rear_center,14,21,15,15,25,27,0.7762962962962963,47,72,0,6,False,53.1691397879913
ur5e_s2_1p214_s3_1p203_rear_left,ur5e,1.2139456341974437,1.202656514942646,0.5398797166547714,0.4714413538575174,rear_left,8,13,8,15,25,27,0.4498765432098765,39,72,0,4,False,55.95065007300582
ur5e_s2_1p214_s3_1p203_rear_center,ur5e,1.2139456341974437,1.202656514942646,0.5398797166547714,0.4714413538575174,rear_center,7,10,8,15,25,27,0.38765432098765434,35,72,0,4,False,53.96318835602142
ur5e_s2_0p807_s3_0p906_rear_left,ur5e,0.807001895736903,0.9060880322940648,0.3588990664300541,0.3551865086592735,rear_left,14,20,2,15,25,27,0.6024691358024691,42,72,0,6,False,51.85916659902432
ur5e_s2_0p807_s3_0p906_rear_center,ur5e,0.807001895736903,0.9060880322940648,0.3588990664300541,0.3551865086592735,rear_center,15,19,4,15,25,27,0.6360493827160494,54,72,2,6,False,50.76405395800248
ur5e_s2_0p757_s3_1p032_rear_left,ur5e,0.7567640305496752,1.0323533932678401,0.3365567113372314,0.4046825301609935,rear_left,15,20,7,15,25,27,0.6864197530864198,46,72,1,5,False,50.76832444200409
ur5e_s2_0p757_s3_1p032_rear_center,ur5e,0.7567640305496752,1.0323533932678401,0.3365567113372314,0.4046825301609935,rear_center,15,22,5,15,25,27,0.688395061728395,50,72,2,4,False,52.04907711100532
ur5e_s2_1p226_s3_0p861_rear_left,ur5e,1.2262230277992785,0.8607846116647124,0.5453398588491949,0.3374275677725674,rear_left,15,21,10,15,25,27,0.7367901234567901,45,72,0,6,False,51.94931760901818
ur5e_s2_1p226_s3_0p861_rear_center,ur5e,1.2262230277992785,0.8607846116647124,0.5453398588491949,0.3374275677725674,rear_center,15,20,13,15,25,27,0.7604938271604939,48,72,0,5,False,53.89691103200312
ur5e_s2_1p104_s3_1p130_rear_left,ur5e,1.1036316980607808,1.1299716043286026,0.49081964764772096,0.44294886889681234,rear_left,9,17,7,15,25,27,0.5130864197530864,47,72,0,5,False,53.95016964702518
ur5e_s2_1p104_s3_1p130_rear_center,ur5e,1.1036316980607808,1.1299716043286026,0.49081964764772096,0.44294886889681234,rear_center,10,17,13,15,25,27,0.6093827160493827,43,72,0,5,False,59.98328160500387
ur5e_s2_0p886_s3_0p958_rear_left,ur5e,0.8860637177713215,0.9582824213430285,0.394060339617029,0.3756467091664673,rear_left,15,21,5,15,25,27,0.6750617283950616,49,72,0,6,False,53.35706998599926
ur5e_s2_0p886_s3_0p958_rear_center,ur5e,0.8860637177713215,0.9582824213430285,0.394060339617029,0.3756467091664673,rear_center,15,24,10,15,25,27,0.7767901234567901,54,72,1,6,False,57.45052810900961
ur5e_s2_0p974_s3_1p241_rear_left,ur5e,0.9744291133247316,1.240700140595436,0.43335920389030547,0.48635445511341113,rear_left,12,21,9,15,25,27,0.6577777777777778,47,72,0,5,False,53.08967341200332
ur5e_s2_0p974_s3_1p241_rear_center,ur5e,0.9744291133247316,1.240700140595436,0.43335920389030547,0.48635445511341113,rear_center,6,22,12,15,25,27,0.5748148148148148,35,72,0,4,False,56.55565431099967
ur5e_s2_1p004_s3_0p912_rear_left,ur5e,1.0044960207305849,0.9122720216400921,0.44673090110118496,0.35761063248291625,rear_left,14,20,9,15,25,27,0.688888888888889,50,72,0,6,False,49.368697054014774
ur5e_s2_1p004_s3_0p912_rear_center,ur5e,1.0044960207305849,0.9122720216400921,0.44673090110118496,0.35761063248291625,rear_center,14,21,12,15,25,27,0.7392592592592592,57,72,1,7,False,56.41199229599442
ur5e_s2_1p134_s3_1p080_rear_left,ur5e,1.1339262309484184,1.080369483679533,0.5042925770531463,0.42350483760237706,rear_left,10,17,8,15,25,27,0.5476543209876543,48,72,0,6,False,54.87720553201507
ur5e_s2_1p134_s3_1p080_rear_center,ur5e,1.1339262309484184,1.080369483679533,0.5042925770531463,0.42350483760237706,rear_center,11,17,12,15,25,27,0.6192592592592593,43,72,0,5,False,59.02825124800438
ur5e_s2_0p852_s3_0p752_rear_left,ur5e,0.8519661608152092,0.7520631966181099,0.37889608607098285,0.2948087730742992,rear_left,12,20,1,15,25,27,0.5456790123456791,46,72,0,6,False,51.12987226599944
ur5e_s2_0p852_s3_0p752_rear_center,ur5e,0.8519661608152092,0.7520631966181099,0.37889608607098285,0.2948087730742992,rear_center,15,20,9,15,25,27,0.7111111111111111,53,72,0,7,False,48.01468301098794
