candidate_id,robot,factor2,factor3,span2_m,span3_m,parking_id,tier1_complete,tier2_complete,tier3_complete,tier1_total,tier2_total,tier3_total,storage_balanced_fraction,pickup_complete,pickup_total,pickup_all_angle_slots,pickup_min_slot_complete,module_complete,elapsed_s
xarm6_s2_1p100_s3_1p100_rear_center,xarm6,1.1,1.1,0.3804025669283355,0.381532554529869,rear_center,12,19,18,15,25,27,0.7422222222222222,62,72,1,8,True,41.39138393901521
xarm6_s2_1p100_s3_1p200_rear_left,xarm6,1.1,1.2,0.3804025669283355,0.4162173322144025,rear_left,12,23,17,15,25,27,0.7832098765432098,66,72,3,8,True,42.351624809001805
xarm6_s2_1p100_s3_1p200_rear_center,xarm6,1.1,1.2,0.3804025669283355,0.4162173322144025,rear_center,10,14,9,15,25,27,0.52,60,72,1,7,True,39.67078281400609
xarm6_s2_1p200_s3_0p800_rear_left,xarm6,1.2,0.8,0.4149846184672751,0.2774782214762683,rear_left,14,22,4,15,25,27,0.6538271604938272,61,72,2,7,True,43.582372177013895
xarm6_s2_1p200_s3_0p800_rear_center,xarm6,1.2,0.8,0.4149846184672751,0.2774782214762683,rear_center,13,25,16,15,25,27,0.8197530864197531,59,72,0,6,True,42.18866828500177
xarm6_s2_1p200_s3_0p900_rear_left,xarm6,1.2,0.9,0.4149846184672751,0.31216299916080187,rear_left,13,25,7,15,25,27,0.7086419753086419,63,72,1,7,True,43.37117624399252
xarm6_s2_1p200_s3_0p900_rear_center,xarm6,1.2,0.9,0.4149846184672751,0.31216299916080187,rear_center,12,23,16,15,25,27,0.7708641975308642,65,72,3,8,True,41.74496760699549
xarm6_s2_1p200_s3_1p000_rear_left,xarm6,1.2,1.0,0.4149846184672751,0.3468477768453354,rear_left,14,24,13,15,25,27,0.7916049382716049,65,72,3,8,True,42.912358589994255
xarm6_s2_1p200_s3_1p000_rear_center,xarm6,1.2,1.0,0.4149846184672751,0.3468477768453354,rear_center,12,22,17,15,25,27,0.7698765432098765,60,72,2,7,True,41.54042484200909
xarm6_s2_1p200_s3_1p100_rear_left,xarm6,1.2,1.1,0.4149846184672751,0.381532554529869,rear_left,12,23,17,15,25,27,0.7832098765432098,64,72,3,7,True,43.11453529301798
xarm6_s2_1p200_s3_1p100_rear_center,xarm6,1.2,1.1,0.4149846184672751,0.381532554529869,rear_center,10,16,13,15,25,27,0.5960493827160493,61,72,2,7,True,40.44262374800746
xarm6_s2_1p200_s3_1p200_rear_left,xarm6,1.2,1.2,0.4149846184672751,0.4162173322144025,rear_left,10,19,18,15,25,27,0.6977777777777777,64,72,2,8,True,40.86315810799715
xarm6_s2_1p200_s3_1p200_rear_center,xarm6,1.2,1.2,0.4149846184672751,0.4162173322144025,rear_center,6,11,7,15,25,27,0.3664197530864198,60,72,2,7,True,36.76578177997726
ur5e_s2_0p800_s3_0p800_rear_left,ur5e,0.8,0.8,0.35578510367917315,0.3136000000000001,rear_left,12,20,1,15,25,27,0.5456790123456791,48,72,0,6,False,52.343723085010424
ur5e_s2_0p800_s3_0p800_rear_center,ur5e,0.8,0.8,0.35578510367917315,0.3136000000000001,rear_center,15,21,9,15,25,27,0.7244444444444444,53,72,0,7,False,53.55112135398667
ur5e_s2_0p800_s3_0p900_rear_left,ur5e,0.8,0.9,0.35578510367917315,0.3528000000000001,rear_left,14,20,2,15,25,27,0.6024691358024691,42,72,0,5,False,51.9485950510134
ur5e_s2_0p800_s3_0p900_rear_center,ur5e,0.8,0.9,0.35578510367917315,0.3528000000000001,rear_center,15,19,5,15,25,27,0.648395061728395,54,72,2,6,False,49.49057863399503
ur5e_s2_0p800_s3_1p000_rear_left,ur5e,0.8,1.0,0.35578510367917315,0.3920000000000001,rear_left,15,22,6,15,25,27,0.7007407407407408,49,72,1,6,False,51.46184936200734
ur5e_s2_0p800_s3_1p000_rear_center,ur5e,0.8,1.0,0.35578510367917315,0.3920000000000001,rear_center,15,22,6,15,25,27,0.7007407407407408,54,72,2,6,False,51.94137409501127
ur5e_s2_0p800_s3_1p100_rear_left,ur5e,0.8,1.1,0.35578510367917315,0.4312000000000002,rear_left,15,19,7,15,25,27,0.6730864197530865,52,72,2,6,False,48.939957666996634
ur5e_s2_0p800_s3_1p100_rear_center,ur5e,0.8,1.1,0.35578510367917315,0.4312000000000002,rear_center,15,23,8,15,25,27,0.7387654320987654,53,72,2,6,False,53.45531693697558
ur5e_s2_0p800_s3_1p200_rear_left,ur5e,0.8,1.2,0.35578510367917315,0.47040000000000015,rear_left,15,23,9,15,25,27,0.7511111111111112,52,72,2,5,False,49.690678227023454
ur5e_s2_0p800_s3_1p200_rear_center,ur5e,0.8,1.2,0.35578510367917315,0.47040000000000015,rear_center,15,23,12,15,25,27,0.7881481481481482,51,72,1,6,False,52.54315585902077
ur5e_s2_0p900_s3_0p800_rear_left,ur5e,0.9,0.8,0.40025824163906976,0.3136000000000001,rear_left,14,20,4,15,25,27,0.6271604938271605,43,72,0,6,False,48.73367672599852
ur5e_s2_0p900_s3_0p800_rear_center,ur5e,0.9,0.8,0.40025824163906976,0.3136000000000001,rear_center,15,21,7,15,25,27,0.6997530864197531,52,72,0,7,False,51.68646007901407
ur5e_s2_0p900_s3_0p900_rear_left,ur5e,0.9,0.9,0.40025824163906976,0.3528000000000001,rear_left,15,23,9,15,25,27,0.7511111111111112,46,72,0,4,False,53.43233998800861
ur5e_s2_0p900_s3_0p900_rear_center,ur5e,0.9,0.9,0.40025824163906976,0.3528000000000001,rear_center,15,20,7,15,25,27,0.6864197530864198,56,72,2,7,False,53.669457914016675
ur5e_s2_0p900_s3_1p000_rear_left,ur5e,0.9,1.0,0.40025824163906976,0.3920000000000001,rear_left,15,20,5,15,25,27,0.6617283950617284,54,72,2,6,False,51.87584570000763
ur5e_s2_0p900_s3_1p000_rear_center,ur5e,0.9,1.0,0.40025824163906976,0.3920000000000001,rear_center,15,24,10,15,25,27,0.7767901234567901,55,72,2,6,False,56.46535030199448
ur5e_s2_0p900_s3_1p100_rear_left,ur5e,0.9,1.1,0.40025824163906976,0.4312000000000002,rear_left,15,21,3,15,25,27,0.6503703703703704,51,72,2,5,False,49.052577463997295
ur5e_s2_0p900_s3_1p100_rear_center,ur5e,0.9,1.1,0.40025824163906976,0.4312000000000002,rear_center,15,24,14,15,25,27,0.8261728395061728,52,72,2,6,False,54.18259184199269
ur5e_s2_0p900_s3_1p200_rear_left,ur5e,0.9,1.2,0.40025824163906976,0.47040000000000015,rear_left,15,22,8,15,25,27,0.725432098765432,52,72,2,6,False,50.85843465200742
ur5e_s2_0p900_s3_1p200_rear_center,ur5e,0.9,1.2,0.40025824163906976,0.47040000000000015,rear_center,15,24,14,15,25,27,0.8261728395061728,52,72,2,6,False,53.48123799901805
ur5e_s2_1p000_s3_0p800_rear_left,ur5e,1.0,0.8,0.4447313795989664,0.3136000000000001,rear_left,14,22,11,15,25,27,0.740246913580247,51,72,0,6,False,50.745874369022204
ur5e_s2_1p000_s3_0p800_rear_center,ur5e,1.0,0.8,0.4447313795989664,0.3136000000000001,rear_center,13,20,8,15,25,27,0.654320987654321,49,72,0,6,False,52.82514239300508
ur5e_s2_1p000_s3_0p900_rear_left,ur5e,1.0,0.9,0.4447313795989664,0.3528000000000001,rear_left,14,21,11,15,25,27,0.7269135802469137,51,72,0,6,False,50.00491897400934
ur5e_s2_1p000_s3_0p900_rear_center,ur5e,1.0,0.9,0.4447313795989664,0.3528000000000001,rear_center,14,21,13,15,25,27,0.7516049382716049,56,72,1,7,False,56.42031589298858
ur5e_s2_1p000_s3_1p000_rear_left,ur5e,1.0,1.0,0.4447313795989664,0.3920000000000001,rear_left,13,21,6,15,25,27,0.642962962962963,55,72,2,7,False,51.537341965013184
ur5e_s2_1p000_s3_1p000_rear_center,ur5e,1.0,1.0,0.4447313795989664,0.3920000000000001,rear_center,15,18,10,15,25,27,0.6967901234567901,45,72,0,6,False,57.17054109898163
ur5e_s2_1p000_s3_1p100_rear_left,ur5e,1.0,1.1,0.4447313795989664,0.4312000000000002,rear_left,14,21,8,15,25,27,0.6898765432098766,55,72,1,7,False,56.94225535998703
ur5e_s2_1p000_s3_1p100_rear_center,ur5e,1.0,1.1,0.4447313795989664,0.4312000000000002,rear_center,13,20,11,15,25,27,0.691358024691358,44,72,1,4,False,57.6325597249961
ur5e_s2_1p000_s3_1p200_rear_left,ur5e,1.0,1.2,0.4447313795989664,0.47040000000000015,rear_left,12,20,8,15,25,27,0.6320987654320988,46,72,0,5,False,52.771384323976235
ur5e_s2_1p000_s3_1p200_rear_center,ur5e,1.0,1.2,0.4447313795989664,0.47040000000000015,rear_center,7,22,11,15,25,27,0.5846913580246914,35,72,0,4,False,57.24037604802288
ur5e_s2_1p100_s3_0p800_rear_left,ur5e,1.1,0.8,0.4892045175588631,0.3136000000000001,rear_left,13,21,10,15,25,27,0.6923456790123458,50,72,0,5,False,50.54954690698651
ur5e_s2_1p100_s3_0p800_rear_center,ur5e,1.1,0.8,0.4892045175588631,0.3136000000000001,rear_center,15,21,10,15,25,27,0.7367901234567901,47,72,0,6,False,52.69491637000465
ur5e_s2_1p100_s3_0p900_rear_left,ur5e,1.1,0.9,0.4892045175588631,0.3528000000000001,rear_left,13,21,13,15,25,27,0.7293827160493827,46,72,0,6,False,51.43103131299722
ur5e_s2_1p100_s3_0p900_rear_center,ur5e,1.1,0.9,0.4892045175588631,0.3528000000000001,rear_center,15,20,13,15,25,27,0.7604938271604939,44,72,0,5,False,56.3094043880119
ur5e_s2_1p100_s3_1p000_rear_left,ur5e,1.1,1.0,0.4892045175588631,0.3920000000000001,rear_left,13,17,11,15,25,27,0.6513580246913581,49,72,0,6,False,52.077588478976395
ur5e_s2_1p100_s3_1p000_rear_center,ur5e,1.1,1.0,0.4892045175588631,0.3920000000000001,rear_center,13,15,8,15,25,27,0.5876543209876544,41,72,0,3,False,54.92360382899642
ur5e_s2_1p100_s3_1p100_rear_left,ur5e,1.1,1.1,0.4892045175588631,0.4312000000000002,rear_left,11,17,6,15,25,27,0.5451851851851851,49,72,0,5,False,54.88807353601442
ur5e_s2_1p100_s3_1p100_rear_center,ur5e,1.1,1.1,0.4892045175588631,0.4312000000000002,rear_center,12,19,12,15,25,27,0.668148148148148,46,72,0,5,False,59.79826326898183
ur5e_s2_1p100_s3_1p200_rear_left,ur5e,1.1,1.2,0.4892045175588631,0.47040000000000015,rear_left,7,20,15,15,25,27,0.6074074074074075,46,72,0,5,False,66.34660725598224
ur5e_s2_1p100_s3_1p200_rear_center,ur5e,1.1,1.2,0.4892045175588631,0.47040000000000015,rear_center,9,15,11,15,25,27,0.5358024691358024,40,72,0,4,False,60.61358312302036
ur5e_s2_1p200_s3_0p800_rear_left,ur5e,1.2,0.8,0.5336776555187597,0.3136000000000001,rear_left,14,22,9,15,25,27,0.7155555555555555,50,72,0,5,False,50.58957224100595
ur5e_s2_1p200_s3_0p800_rear_center,ur5e,1.2,0.8,0.5336776555187597,0.3136000000000001,rear_center,15,20,10,15,25,27,0.7234567901234569,46,72,0,6,False,52.48128643402015
ur5e_s2_1p200_s3_0p900_rear_left,ur5e,1.2,0.9,0.5336776555187597,0.3528000000000001,rear_left,15,19,8,15,25,27,0.6854320987654322,48,72,0,6,False,51.91128358800779
ur5e_s2_1p200_s3_0p900_rear_center,ur5e,1.2,0.9,0.5336776555187597,0.3528000000000001,rear_center,14,19,13,15,25,27,0.7249382716049383,47,72,0,5,False,55.56337224500021
ur5e_s2_1p200_s3_1p000_rear_left,ur5e,1.2,1.0,0.5336776555187597,0.3920000000000001,rear_left,13,19,5,15,25,27,0.6039506172839506,42,72,0,6,False,54.31141075200867
ur5e_s2_1p200_s3_1p000_rear_center,ur5e,1.2,1.0,0.5336776555187597,0.3920000000000001,rear_center,11,14,9,15,25,27,0.5422222222222223,40,72,0,4,False,55.8236918199982
ur5e_s2_1p200_s3_1p100_rear_left,ur5e,1.2,1.1,0.5336776555187597,0.4312000000000002,rear_left,8,13,5,15,25,27,0.41283950617283954,44,72,0,4,False,53.37006793101318
ur5e_s2_1p200_s3_1p100_rear_center,ur5e,1.2,1.1,0.5336776555187597,0.4312000000000002,rear_center,10,18,12,15,25,27,0.6103703703703703,40,72,0,5,False,58.92777507097344
ur5e_s2_1p200_s3_1p200_rear_left,ur5e,1.2,1.2,0.5336776555187597,0.47040000000000015,rear_left,7,13,10,15,25,27,0.4523456790123457,38,72,0,4,False,57.844434555998305
ur5e_s2_1p200_s3_1p200_rear_center,ur5e,1.2,1.2,0.5336776555187597,0.47040000000000015,rear_center,8,10,8,15,25,27,0.40987654320987654,37,72,0,4,False,50.04719731200021
