candidate_id,robot,sample_index,sampling_kind,parking_id,span2_mm,span3_mm,span4_mm,span5_mm,factor2,factor3,factor4,factor5,tier1_complete,tier2_complete,tier3_complete,storage_balanced_fraction,pickup_complete,pickup_min_slot_complete,module_complete,module_stress_complete,module_stress_total,module_stress_min_clearance_m,module_stress_min_joint_margin_rad,elapsed_s
orth6r_39bf1ac80cbc_q10_rear_right,orth6r_39bf1ac80cbc,10,sobol,rear_right,317.1244615549221,370.66770207602536,0.0,65.39228436537087,1.0935326260514557,0.9504300053231418,,1.0898714060895145,8,11,3,0.36148148148148146,50,5,True,9,9,0.00666666666666671,0.22069628494919713,84.9636390240048
orth6r_39bf1ac80cbc_q10_mid_left,orth6r_39bf1ac80cbc,10,sobol,mid_left,317.1244615549221,370.66770207602536,0.0,65.39228436537087,1.0935326260514557,0.9504300053231418,,1.0898714060895145,10,13,3,0.4325925925925926,48,6,True,9,9,0.00666666666666671,0.34771078796987664,111.35596047499712
orth6r_39bf1ac80cbc_q11_rear_left,orth6r_39bf1ac80cbc,11,sobol,rear_left,339.18178008869285,472.8063336526975,0.0,45.486855637282126,1.1695923451334238,1.2123239324428141,,0.7581142606213689,8,20,5,0.5061728395061729,42,5,True,9,9,0.00666666666666671,0.3684385879818539,91.89465776499856
orth6r_39bf1ac80cbc_q11_rear_center,orth6r_39bf1ac80cbc,11,sobol,rear_center,339.18178008869285,472.8063336526975,0.0,45.486855637282126,1.1695923451334238,1.2123239324428141,,0.7581142606213689,10,22,13,0.6760493827160494,45,6,True,9,9,0.00666666666666671,0.5093622685371966,90.87875255600375
orth6r_39bf1ac80cbc_q11_rear_right,orth6r_39bf1ac80cbc,11,sobol,rear_right,339.18178008869285,472.8063336526975,0.0,45.486855637282126,1.1695923451334238,1.2123239324428141,,0.7581142606213689,10,22,12,0.6637037037037037,50,6,True,9,9,0.00666666666666671,0.2206962849492784,96.51520379399881
orth6r_39bf1ac80cbc_q11_mid_left,orth6r_39bf1ac80cbc,11,sobol,mid_left,339.18178008869285,472.8063336526975,0.0,45.486855637282126,1.1695923451334238,1.2123239324428141,,0.7581142606213689,10,23,14,0.7017283950617283,41,5,True,9,9,0.00666666666666671,0.6825701815056386,104.15939768800308
orth6r_39bf1ac80cbc_q12_rear_left,orth6r_39bf1ac80cbc,12,sobol,rear_left,263.7867977656424,300.9101404482499,0.0,70.85863614454865,0.9096096474677324,0.7715644626878202,,1.180977269075811,1,0,0,0.022222222222222223,13,0,False,0,9,,,182.78700253400166
orth6r_39bf1ac80cbc_q12_rear_center,orth6r_39bf1ac80cbc,12,sobol,rear_center,263.7867977656424,300.9101404482499,0.0,70.85863614454865,0.9096096474677324,0.7715644626878202,,1.180977269075811,4,9,0,0.2088888888888889,40,4,False,0,9,-0.0004864908181002811,4.4231285301066237e-13,140.7843456480041
orth6r_39bf1ac80cbc_q12_rear_right,orth6r_39bf1ac80cbc,12,sobol,rear_right,263.7867977656424,300.9101404482499,0.0,70.85863614454865,0.9096096474677324,0.7715644626878202,,1.180977269075811,3,6,0,0.14666666666666667,43,5,False,0,9,-0.0004866533769101594,1.9984014443252818e-14,103.41229008300434
orth6r_39bf1ac80cbc_q12_mid_left,orth6r_39bf1ac80cbc,12,sobol,mid_left,263.7867977656424,300.9101404482499,0.0,70.85863614454865,0.9096096474677324,0.7715644626878202,,1.180977269075811,4,11,0,0.23555555555555555,31,1,False,0,9,-0.0004867491234055443,4.440892098500626e-16,154.0619572739961
