candidate_id,robot,sample_index,span2_mm,span3_mm,span4_mm,span5_mm,size_x_mm,size_y_mm,size_z_mm,worst_axis_ratio,arm_size_x_mm,arm_size_y_mm,arm_size_z_mm,volume_l,clearance_mm,collision_free,rule_pass,evaluations,elapsed_s
orth6r_4ab675a33402_q08,orth6r_4ab675a33402,8,248.67874441668388,331.0155894700438,0.0,67.31128614395857,433.3252681447876,360.0,495.6140233536064,0.8260233722560106,412.8790420933511,354.8486099533432,300.6140233536064,77.31434864376665,5.000003451655896,True,True,7621,13.193138167000143
orth6r_4ab675a33402_q09,orth6r_4ab675a33402,9,240.4728474700823,390.85997025948024,0.0,58.892726758494966,360.00006132409015,423.0926586540651,496.39645738409126,0.8273274289734854,354.4845953341434,418.2143086662967,301.39645738409126,75.6078237637835,5.000000007695779,True,True,6232,7.03435883900238
orth6r_4ab675a33402_q10,orth6r_4ab675a33402,10,317.1244615549221,370.66770207602536,0.0,65.39228436537087,360.0,522.2614720088965,533.0992063402995,0.8884986772338326,293.5248344855006,485.03994471646985,338.0992063402995,100.23018344282134,8.307578823204764,True,True,4258,6.754439982003532
orth6r_4ab675a33402_q11,orth6r_4ab675a33402,11,339.18178008869285,472.8063336526975,0.0,45.486855637282126,493.6377640052217,433.4288049354898,495.7479254127029,0.8262465423545049,487.82822414933355,421.2231483318023,300.7479254127029,106.0686526787655,5.000000169325725,True,True,9319,15.884740705994773
orth6r_4ab675a33402_q12,orth6r_4ab675a33402,12,263.7867977656424,300.9101404482499,0.0,70.85863614454865,503.01054992400805,360.0,496.31539744098876,0.8383509165400135,378.0105499240081,221.69499556460843,496.31539744098876,89.87467716091598,23.879835658940788,True,True,4770,8.849003408999124
orth6r_4ab675a33402_q13,orth6r_4ab675a33402,13,273.93207472283393,447.70580917596817,0.0,60.79947022721171,398.36036632056965,436.9829272760734,496.397138008653,0.827328563347755,372.85605655161334,436.9826226171093,301.397138008653,86.41116524246884,5.001613809633043,True,True,5393,9.930470589999459
orth6r_4ab675a33402_q14,orth6r_4ab675a33402,14,347.09454212803394,326.39096022583544,0.0,56.05818310752511,381.06581433798,506.22627240927966,506.2271311430789,0.843711885238465,299.4044626766614,381.2262724092797,311.2271311430789,97.65401138066419,5.001374096658087,True,True,3927,7.370965476002311
orth6r_4ab675a33402_q15,orth6r_4ab675a33402,15,306.97978094220156,419.19932747259736,0.0,73.64910126663744,363.67061412877507,498.67074785673304,498.66968150600417,0.8311179130945551,283.86941530062666,496.1848689667554,303.66968150600417,90.43469277789536,7.227391865590863,True,True,5877,6.685812460003945
orth6r_4ab675a33402_q16,orth6r_4ab675a33402,16,232.56052620708942,342.70975596271455,0.0,50.269050719216466,413.34438043594054,360.0000001280345,496.04018064843774,0.8267336344140629,398.02678974798647,356.7739563057235,301.04018064843774,73.81275163717739,5.0086292723696415,True,True,6724,6.511596222997468
orth6r_9cb821f00d15_q00,orth6r_9cb821f00d15,0,0.0,290.0,390.0,0.0,360.09657387547946,446.6690655237276,455.0,0.7583333333333334,349.10253035317743,374.20672218027937,260.0,73.18402006882164,5.001582437603346,True,True,4915,4.757865742001741
orth6r_9cb821f00d15_q01,orth6r_9cb821f00d15,1,0.0,220.37192650604993,477.1096069877968,0.0,368.4306134526818,447.6626259902634,455.0,0.7583333333333334,368.42895585005795,447.6626259902634,260.0,75.0443402406112,5.332712209637297,True,True,3412,2.8379193090004264
orth6r_9cb821f00d15_q02,orth6r_9cb821f00d15,2,0.0,330.0118701579049,293.6547868978232,0.0,454.99878744543224,419.506683312793,455.0,0.7583333333333334,407.10297910392393,294.506683312793,260.0,86.84813966582196,5.129363552038655,True,True,3460,3.414273205999052
orth6r_9cb821f00d15_q03,orth6r_9cb821f00d15,3,0.0,304.8679267941042,393.48026318941265,0.0,415.5850941165009,459.55100451736365,455.0,0.7659183408622727,415.5850941165009,334.55100451736365,260.0,86.89705909597491,17.36018421055098,True,True,2143,2.965930282000045
orth6r_9cb821f00d15_q04,orth6r_9cb821f00d15,4,0.0,268.2147795660421,383.37741577997804,0.0,360.0,452.2622721994805,455.0,0.7583333333333334,344.62126671418923,441.98353262956874,260.0,74.08056018627492,35.95134617059181,True,True,2589,3.4423862399999052
